Day fraction since midnight on 	pH probe (pH)
0.609391043	6.941150665
0.609402626	6.938920021
0.609414216	6.943732262
0.609425776	6.943531036
0.609437357	6.935701847
0.609448922	6.927150726
0.609460503	6.951752663
0.609472066	6.957236767
0.609483648	6.940177441
0.609495221	6.90155983
0.609506793	6.907450199
0.609518359	6.87296772
0.609529947	6.860746861
0.609541531	6.844434261
0.609553089	6.861289024
0.609564665	6.857910633
0.609576257	6.872991085
0.609587822	6.850097656
0.609599375	6.863093376
0.609610964	6.855126381
0.609622535	6.862727642
0.609634113	6.840368748
0.609645671	6.863344193
0.609657257	6.853731632
0.609668853	6.868541241
0.609680406	6.85129261
0.609691995	6.866518021
0.609703545	6.847425938
0.609715138	6.843931675
0.6097267	6.829744339
0.609738278	6.838686466
0.609749858	6.833076954
0.609761432	6.831006527
0.609773005	6.894295692
0.609784576	6.873598099
0.60979616	6.835234642
0.609807741	6.840297699
0.609819315	6.854291439
0.609830877	6.83743906
0.609842457	6.833586216
0.609854026	6.82156992
0.6098656	6.834731579
0.609877156	6.810050964
0.609888758	6.815750122
0.609900326	6.798317909
0.609911896	6.802632332
0.609923474	6.79191637
0.60993504	6.801254273
0.609946604	6.784591675
0.609958184	6.795057774
0.609969751	6.777313232
0.609981349	6.778543472
0.609992914	6.75799036
0.610004507	6.774314404
0.610016062	6.777033329
0.610027641	6.787813187
0.610039209	6.772525311
0.610050782	6.843797207
0.61006238	6.786915302
0.610073914	6.777601719
0.61008552	6.759413242
0.610097079	6.779134274
0.610108648	6.752788544
0.610120229	6.772224426
0.610131787	6.760715485
0.61014336	6.761562347
0.610154945	6.755661964
0.610166522	6.738935947
0.610178083	6.744578362
0.610189694	6.743896008
0.610201241	6.762281418
0.610212804	6.764184952
0.610224376	6.754454136
0.610235969	6.69609642
0.610247527	6.725131512
0.610259116	6.700358868
0.610270692	6.709762096
0.610282249	6.704955101
0.610293848	6.724469662
0.61030542	6.722958088
0.610316999	6.72654295
0.610328546	6.714614868
0.610340121	6.7266922
0.610351711	6.705047131
0.610363294	6.720855713
0.610374857	6.700662613
0.610386439	6.711843967
0.610398008	6.688154221
0.610409576	6.705055237
0.610421162	6.688683987
0.610432753	6.697943687
0.610444289	6.668262005
0.610455884	6.711789608
0.610467459	6.691316605
0.610479022	6.722335339
0.610490583	6.680908203
0.6105022	6.718291283
0.610513772	6.698321343
0.610525316	6.688477039
0.610536895	6.668335915
0.610548466	6.705503941
0.610560045	6.692765713
0.610571626	6.693415165
0.610583197	6.678647041
0.610594753	6.690074921
0.610606331	6.705247402
0.610617905	6.702354431
0.61062949	6.695652962
0.610641059	6.661099911
0.610652636	6.672921181
0.610664211	6.626852512
0.610675788	6.612841129
0.610687363	6.591971397
0.61069892	6.604939938
0.610710521	6.591958046
0.610722079	6.611343861
0.610733653	6.596342087
0.610745229	6.602340698
0.6107568	6.589301109
0.610768393	6.60368681
0.610779959	6.591370583
0.610791532	6.601829529
0.610803095	6.577332497
0.610814658	6.588581562
0.610826252	6.574110985
0.610837823	6.590843678
0.610849416	6.568033218
0.61086097	6.567932606
0.610872526	6.544744968
0.610884106	6.561192513
0.610895676	6.559185028
0.61090729	6.573065281
0.610918828	6.568887234
0.610930406	6.577906609
0.610941973	6.57720995
0.610953549	6.570373535
0.610965125	6.57290411
0.610976711	6.562894821
0.610988296	6.548989773
0.610999856	6.536433697
0.61101143	6.540056229
0.611023021	6.535365582
0.611034575	6.554452419
0.611046165	6.547335625
0.611057743	6.549582958
0.61106932	6.532438755
0.611080892	6.54687357
0.611092445	6.534745216
0.611104011	6.53332758
0.611115609	6.514616966
0.611127163	6.518570423
0.611138743	6.491381645
0.611150305	6.504354477
0.611161912	6.494323254
0.61117347	6.505953789
0.61118506	6.485944748
0.611196614	6.486765862
0.611208207	6.481329918
0.611219766	6.492985725
0.611231343	6.482559204
0.611242903	6.489270687
0.611254505	6.465129852
0.611266052	6.487699032
0.611277649	6.474834442
0.611289211	6.490075111
0.611300773	6.454481602
0.611312343	6.462488651
0.61132395	6.462487221
0.611335508	6.458471298
0.611347084	6.447294712
0.611358643	6.446205139
0.611370233	6.458298683
0.6113818	6.456323147
0.611393405	6.444146156
0.611404955	6.451494694
0.611416523	6.461433888
0.611428083	6.441322327
0.611439672	6.442893505
0.611451233	6.43112421
0.611462824	6.426077366
0.61147438	6.410750389
0.61148596	6.433216095
0.611497571	6.424859524
0.611509121	6.442128182
0.611520676	6.436803341
0.611532267	6.448343277
0.611543855	6.43013525
0.611555411	6.447707176
0.611567003	6.42505455
0.611578576	6.442051888
0.611590166	6.426186085
0.611601722	6.438623905
0.611613309	6.418138027
0.611624862	6.432148933
0.611636428	6.425935745
0.611648013	6.440942287
0.611659565	6.408005238
0.611671153	6.41379261
0.611682719	6.411447048
0.611694293	6.411624908
0.611705876	6.398274899
0.611717437	6.398533821
0.611729037	6.397037506
0.61174061	6.406195164
0.611752162	6.400660038
0.611763751	6.401384831
0.611775311	6.399990559
0.611786899	6.397304058
0.611798455	6.399356842
0.611810048	6.393773556
0.611821628	6.399959564
0.611833195	6.379912376
0.611844789	6.386304379
